                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8684,                 0.4593,                0.96512,                 1.9892,             0.00023233,             0.00023233,             0.00023233
                      2,                 1.0843,                0.78488,                      1,                 1.6069,             0.00045481,             0.00045481,             0.00045481
                      3,                0.40015,                0.87791,                      1,                 1.3909,             0.00066158,             0.00066158,             0.00066158
                      4,                0.14267,                0.88953,                      1,                 1.3766,             0.00064331,             0.00064331,             0.00064331
                      5,                0.11334,                0.93023,                      1,                 1.3383,             0.00064331,             0.00064331,             0.00064331
                      6,                0.06062,                0.90698,                      1,                 1.3698,             0.00061975,             0.00061975,             0.00061975
                      7,                0.05361,                0.97093,                      1,                 1.3189,             0.00059619,             0.00059619,             0.00059619
                      8,                0.06871,                0.94767,                      1,                 1.3284,             0.00057263,             0.00057263,             0.00057263
                      9,                0.04621,                 0.9186,                      1,                 1.3479,             0.00054907,             0.00054907,             0.00054907
                     10,                0.05681,                0.94186,                      1,                 1.3628,              0.0005255,              0.0005255,              0.0005255
                     11,                0.03994,                0.98837,                      1,                 1.3127,             0.00050194,             0.00050194,             0.00050194
